mean,min,max,class
-4.0326657,-302.2295,115.5618,turkmence
-4.325071,-302.14243,115.484375,turkmence
-4.159544,-272.86038,117.17875,turkmence
-4.167392,-282.07697,133.30064,turkmence
-4.0282803,-269.52304,128.30789,turkmence
-3.762882,-291.5659,112.34208,turkmence
-4.285632,-281.82922,120.80155,turkmence
-3.956812,-272.04398,107.17315,turkmence
-4.0026135,-282.52673,116.99291,turkmence
-4.369308,-289.97675,115.9624,turkmence
-3.861919,-280.86505,122.917,turkmence
-3.9377272,-291.74258,124.708496,turkmence
-4.2182302,-263.54257,128.95906,turkmence
-4.0574284,-283.52615,123.97496,turkmence
-4.26567,-272.81635,129.91716,turkmence
-4.588024,-295.45718,116.52659,turkmence
-5.5950704,-312.22574,81.00006,turkmence
-5.165764,-301.16113,106.51188,turkmence
-5.308432,-321.2562,111.707436,turkmence
-5.466463,-336.00626,108.983765,turkmence
-5.2313604,-348.5162,101.818,turkmence
-4.1759953,-284.18475,117.31826,turkmence
-4.0895853,-296.7558,115.16203,turkmence
-4.0930357,-260.95395,116.28017,turkmence
-4.248864,-268.91748,129.5245,turkmence
-3.9427142,-274.3048,122.19617,turkmence
-4.084906,-302.27106,125.93533,turkmence
-4.0071516,-263.6538,128.7978,turkmence
-4.1947236,-271.01947,134.43735,turkmence
-3.9147491,-268.67868,107.33186,turkmence
-3.61682,-279.0607,116.37651,turkmence
-4.080472,-284.07312,122.56288,turkmence
-3.6975923,-279.77676,116.05834,turkmence
-3.7636003,-262.56503,127.65338,turkmence
-4.0563207,-272.5423,119.93303,turkmence
-4.19133,-280.74707,122.10107,turkmence
-4.2818513,-286.96524,111.41889,turkmence
-3.999939,-265.60312,116.76699,turkmence
-4.2717147,-297.51147,127.989944,turkmence
-3.942395,-231.59181,124.08038,turkmence
-3.993033,-259.89743,126.451836,turkmence
-4.857933,-291.2282,103.387985,turkmence
-5.354027,-313.37863,105.22362,turkmence
-5.3074546,-334.35385,101.74129,turkmence
-5.4575343,-334.24258,90.68181,turkmence
-5.0166698,-319.4891,106.78161,turkmence
-3.9134448,-287.77954,102.592575,turkmence
-4.1093607,-267.032,121.5814,turkmence
-3.9384396,-249.12744,129.73778,turkmence
-3.9792569,-254.66777,122.69118,turkmence
-3.8411617,-267.02866,119.127525,turkmence
-3.89933,-274.72327,102.76217,turkmence
-4.1347356,-258.89572,130.9495,turkmence
-3.6191607,-252.36911,113.29132,turkmence
-3.831376,-249.18904,120.49979,turkmence
-4.2435756,-286.83252,114.70183,turkmence
-3.7848527,-234.18199,124.51674,turkmence
-4.1181946,-279.30753,116.06505,turkmence
-3.942644,-259.51257,118.67129,turkmence
-4.0852485,-256.17056,121.50735,turkmence
-3.9428463,-268.09988,122.25725,turkmence
-3.903885,-262.70264,117.54333,turkmence
-3.8425577,-254.45068,128.64723,turkmence
-3.9630828,-274.97235,113.6595,turkmence
-3.8779306,-277.20804,108.43426,turkmence
-4.5582047,-289.37332,129.74971,turkmence
-5.702542,-336.30414,163.71078,turkmence
-5.872603,-329.61905,151.08505,turkmence
-5.5192122,-324.59253,160.88647,turkmence
-5.227365,-303.46893,166.44145,turkmence
-5.627038,-353.8978,173.44507,turkmence
-5.477496,-305.69528,170.24298,turkmence
-5.021125,-301.27316,184.10387,turkmence
-5.160878,-293.2035,162.87459,turkmence
-5.345276,-337.95557,172.60158,turkmence
-5.859697,-319.22964,158.26915,turkmence
-5.3829017,-309.21356,167.90076,turkmence
-5.3316226,-319.9773,162.86488,turkmence
-5.4579377,-297.40744,164.28627,turkmence
-5.8892994,-346.39938,168.19763,turkmence
-5.3102407,-330.8102,155.13972,turkmence
-5.787089,-322.1612,158.38692,turkmence
-5.3098903,-297.20334,169.77919,turkmence
-5.6850476,-329.32043,147.16718,turkmence
-5.3583508,-308.5219,166.94612,turkmence
-5.40632,-306.55722,168.90907,turkmence
-5.4927135,-318.6543,162.83775,turkmence
-5.4735265,-344.80624,168.83618,turkmence
-5.362808,-343.96606,186.90892,turkmence
-5.4539757,-290.7017,157.58835,turkmence
-5.480193,-311.41125,159.90657,turkmence
-5.620877,-322.07288,169.14453,turkmence
-5.4705596,-330.09494,166.60983,turkmence
-5.6128016,-307.56305,145.8989,turkmence
-5.1798534,-311.91498,171.93459,turkmence
-4.911383,-323.1715,181.42845,turkmence
-5.240395,-307.9278,167.05002,turkmence
-5.342832,-317.4669,160.18378,turkmence
-5.6452804,-321.389,158.67485,turkmence
-5.497633,-308.9831,170.368,turkmence
-5.300256,-340.79047,171.3387,turkmence
-5.1972995,-317.9296,179.06433,turkmence
-5.30584,-312.99603,178.72453,turkmence
-5.4899106,-324.6221,162.59776,turkmence
-5.978456,-343.36597,149.78224,turkmence
